"Población total, indicadores socioeconómicos, índice y grado de marginación por municipio, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Clave de la entidad federativa,Nombre de la entidad,Clave del municipio,Nombre del municipio,Población total,% Población de 15 años o más analfabeta ,% Población  de 15 años o más sin educación básica,% Ocupantes en viviendas particulares sin drenaje ni excusado,% Ocupantes en viviendas particulares sin energía eléctrica,% Ocupantes en viviendas particulares sin agua entubada,% Ocupantes en viviendas particulares con piso de tierra,% Viviendas particulares con hacinamiento,% Población en localidades con menos de 5 000 habitantes,% Población ocupada con ingresos menores a 2 salarios mínimos,"Índice de marginación, 2020","Grado de marginación, 2020","Índice de marginación normalizado, 2020",Lugar que ocupa en el contexto nacional
,,,,,,,,,,,,,,,,,
CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020,
,,,,,,,,,,,,,,,,,
Nacional,,,,126 014 024,4.75,29.71,1.47,0.66,3.67,3.81,19.73,27.00,66.88,—,—,—,—
01,Aguascalientes,01001,Aguascalientes, 948 990,1.64,20.37,0.10,0.11,0.38,0.59,10.34,7.52,54.23,60.319,Muy bajo,0.94, 2 435
01,Aguascalientes,01002,Asientos, 51 536,3.53,33.91,2.65,0.49,0.86,1.35,22.94,78.22,78.57,56.546,Muy bajo,0.89, 1 816
01,Aguascalientes,01003,Calvillo, 58 250,4.49,42.48,0.37,0.52,0.80,1.04,19.22,51.30,79.26,57.058,Muy bajo,0.89, 1 932
01,Aguascalientes,01004,Cosío, 17 000,3.14,27.70,0.71,0.58,0.66,1.03,22.72,65.47,81.73,57.114,Muy bajo,0.89, 1 948
01,Aguascalientes,01005,Jesús María, 129 929,2.38,26.69,0.28,0.35,0.86,1.31,16.40,37.16,56.75,59.012,Muy bajo,0.92, 2 323
01,Aguascalientes,01006,Pabellón de Arteaga, 47 646,2.73,25.72,0.54,0.43,1.04,0.71,19.08,32.76,64.34,58.625,Muy bajo,0.92, 2 265
01,Aguascalientes,01007,Rincón de Romos, 57 369,3.45,27.09,0.97,0.50,1.03,1.30,20.98,44.29,76.64,57.647,Muy bajo,0.90, 2 076
01,Aguascalientes,01008,San José de Gracia, 9 552,2.44,28.42,2.11,0.92,1.71,0.86,21.57,41.30,75.41,57.528,Muy bajo,0.90, 2 048
01,Aguascalientes,01009,Tepezalá, 22 485,4.24,35.09,1.39,0.59,1.09,1.43,22.99,76.76,76.94,56.604,Muy bajo,0.89, 1 833
01,Aguascalientes,01010,El Llano, 20 853,3.90,34.76,2.32,1.03,1.78,1.45,21.82,69.75,76.34,56.556,Muy bajo,0.89, 1 819
01,Aguascalientes,01011,San Francisco de los Romo, 61 997,2.36,28.47,0.19,0.32,0.46,0.74,18.51,41.12,65.87,58.552,Muy bajo,0.92, 2 252
02,Baja California,02001,Ensenada, 443 807,2.29,25.24,0.35,1.41,4.57,1.72,13.81,13.57,79.43,58.082,Muy bajo,0.91, 2 171
02,Baja California,02002,Mexicali,1 049 792,1.62,21.50,0.16,0.40,0.68,1.23,12.59,11.39,69.90,59.385,Muy bajo,0.93, 2 356
02,Baja California,02003,Tecate, 108 440,1.95,27.30,0.34,0.97,3.23,1.64,14.01,20.40,74.02,58.390,Muy bajo,0.91, 2 229
02,Baja California,02004,Tijuana,1 922 523,1.47,24.58,0.16,0.18,1.16,2.15,14.97,1.70,74.59,59.140,Muy bajo,0.93, 2 336
02,Baja California,02005,Playas de Rosarito, 126 890,2.03,29.74,0.31,0.44,5.01,2.69,15.41,15.76,72.77,58.291,Muy bajo,0.91, 2 208
02,Baja California,02006,San Quintín, 117 568,8.12,47.24,0.52,5.49,16.81,4.44,31.07,54.40,65.78,53.399,Medio,0.84,  982
03,Baja California Sur,03001,Comondú, 73 021,4.08,32.33,0.52,1.29,1.55,2.94,16.14,19.64,62.55,58.264,Muy bajo,0.91, 2 199
